project_name,startRelease,endRelease
aws-aws-sdk-java-v2,2.9.9,2.9.24
bdew-neiaddons,v1.9.4,v1.8.0
bkromhout-realm-java,v0.89.0,v0.87.1
btraceio-btrace,v1.3.9,v1.3.4
bytedeco-javacpp,1.5.3,1.4
codecentric-spring-boot-admin,1.5.7,1.4.5
codenvy-legacy-che-plugins,3.9.5,3.13.4.4
coobird-thumbnailator,0.4.9,0.4.10
cryptomator-cryptomator,1.5.6,1.5.0-beta3
dropwizard-dropwizard,v2.0.9,v2.0.11
dropwizard-metrics,v4.1.9,v4.1.10.1
evant-gradle-retrolambda,v3.7.0,v3.3.0-beta1
facebook-facebook-android-sdk,sdk-version-5.9.0,sdk-version-5.15.1
facebook-facebook-java-business-sdk,v3.3.6,v3.2.7
facebook-fresco,v1.9.0,v1.14.2
facebook-litho,v2020.07.20.00,v2020.05.11.00
facebook-react-native-fbsdk,v0.10.3,0.6.1
google-cdep,0.8.9,0.8.27
google-dagger,dagger-2.9,dagger-2.28.2
google-error-prone,v2.4.0,v2.1.1
google-gitiles,v0.4,v0.2-9
google-openrtb-doubleclick,1.5.9,1.5.14
google-openrtb,1.5.9,1.5.11
grpc-grpc-java,v1.9.1,v1.30.1
havarunner-havarunner,0.9.5,0.8.4
hazelcast-hazelcast,v3.9.4-c1,v3.9.4-atnt2
immutables-immutables,immutables-2.7.5,immutables-2.6.0.alpha0
ionic-team-capacitor,1.5.2,1.0.0-beta.9
iSoron-uhabits,v1.8.8,v1.7.11
jankotek-mapdb,mapdb-3.0.8,mapdb-3.0.0-beta4
javafunk-funk,funk-0.2.0,funk-0.1.24
javaparser-javaparser,v3.13.10,javaparser-parent-3.6.9
jboss-switchyard-release,1.1.1-p9,1.1.1-p2
jenkinsci-jenkins,jenkins-2.99,jenkins-2.90
jhy-jsoup,jsoup-1.9.2,jsoup-1.7.1
joelittlejohn-jsonschema2pojo,jsonschema2pojo-0.5.1,jsonschema2pojo-0.4.36
kijiproject-kiji-bento,kiji-bento-root-1.4.3,kiji-bento-root-1.2.3
knowm-XChange,xchange-4.4.2,xchange-4.3.3
lettuce-io-lettuce-core,5.3.2.RELEASE,5.1.5.RELEASE
mockito-mockito,v3.4.5,v3.3.6
mybatis-mybatis-3,mybatis-3.5.5,mybatis-3.4.3
naver-pinpoint,1.8.5,1.7.3-RC1
netty-netty,netty-4.1.9.Final,netty-4.1.47.Final
oblac-jodd,v3.9.1,v3.6.8
openengsb-openengsb,v2.5.1,v2.3.1
oracle-oci-java-sdk,v1.9.5,v1.7.0
oracle-opengrok,1.3.9,1.3.15
oracle-spacewalk-java,yum-rhn-plugin-2.9.5-1,yum-rhn-plugin-2.8.5-1
permissions-dispatcher-PermissionsDispatcher,2.4.0,2.1.0
pxb1988-dex2jar,0.0.9.9,0.0.9.14
quarkusio-quarkus,1.6.1.Final,1.4.0.Final
raphw-byte-buddy,byte-buddy-1.9.9,byte-buddy-1.9.15
real-logic-aeron,v1.0.5,1.6.0
redisson-redisson,redisson-parent-3.11.6,redisson-3.7.4
rest-assured-rest-assured,rest-assured-1.9.0,rest-assured-1.5
robolectric-robolectric,robolectric-4.4-alpha-2,robolectric-4.2-rc1
rzwitserloot-lombok,v1.18.8,v1.16.4
scribejava-scribejava,1.3.7,1.2.1
seleniumHQ-selenium,selenium-3.9.1,selenium-3.5.1
sofastack-sofa-rpc,v5.7.4,v5.6.1
spring-projects-spring-boot,v2.4.0-M1,v2.2.7.RELEASE
spring-projects-spring-security,5.4.0-M2,5.2.4.RELEASE
springfox-springfox,pre-2.0,2.4.0
square-android-times-square,android-times-square-parent-1.7.9,android-times-square-parent-1.7.0
square-okhttp,parent-4.8.0,parent-4.3.1
square-retrofit,parent-2.8.1,parent-2.6.0
swagger-api-swagger-core,v2.1.3,v2.0.4
testcontainers-testcontainers-java,testcontainers-1.2.1,testcontainers-1.1.2
uber-NullAway,v0.7.9,v0.7.1
voxeolabs-moho,1.2.1-release,1.1.11
web3j-web3j,v4.6.1,v4.5.2
