project_name,len
aws-aws-sdk-java-v2,2168
bdew-neiaddons,38
bkromhout-realm-java,352
btraceio-btrace,495
bytedeco-javacpp,154
codecentric-spring-boot-admin,145
codenvy-legacy-che-plugins,2935
coobird-thumbnailator,105
cryptomator-cryptomator,222
dropwizard-dropwizard,841
dropwizard-metrics,273
evant-gradle-retrolambda,23
facebook-facebook-android-sdk,452
facebook-facebook-java-business-sdk,596
facebook-fresco,851
facebook-litho,1499
facebook-react-native-fbsdk,21
flyway,314
google-cdep,188
google-dagger,1052
google-error-prone,1486
google-gitiles,125
google-openrtb-doubleclick,42
google-openrtb,44
grpc-grpc-java,947
havarunner-havarunner,42
hazelcast-hazelcast,5611
hibernate-hibernate-orm,9937
immutables-immutables,712
ionic-team-capacitor,82
iSoron-uhabits,337
jankotek-mapdb,154
javafunk-funk,268
javaparser-javaparser,1371
jboss-switchyard-release,167
jenkinsci-jenkins,1457
jhy-jsoup,78
joelittlejohn-jsonschema2pojo,175
kijiproject-kiji-bento,9
knowm-XChange,4181
lettuce-io-lettuce-core,950
mockito-mockito,875
mrniko-netty-socketio,117
mybatis-mybatis-3,1167
naver-pinpoint,4428
netty-netty,2490
oblac-jodd,1737
openengsb-openengsb,608
oracle-oci-java-sdk,4705
oracle-opengrok,747
oracle-spacewalk-java,2686
permissions-dispatcher-PermissionsDispatcher,33
pxb1988-dex2jar,184
quarkusio-quarkus,5412
raphw-byte-buddy,1046
real-logic-aeron,447
realm-realm-java,633
redisson-redisson,1401
rest-assured-rest-assured,185
robolectric-robolectric,1375
rzwitserloot-lombok,1044
scribejava-scribejava,138
seleniumHQ-selenium,1271
sofastack-sofa-rpc,1039
spring-projects-spring-boot,4788
spring-projects-spring-security,2628
springfox-springfox,504
square-android-times-square,17
square-okhttp,164
square-retrofit,222
swagger-api-swagger-core,763
testcontainers-testcontainers-java,151
uber-NullAway,106
voxeolabs-moho,639
web3j-web3j,643
