project_name,domain,number of stars,
DBeaver,database solution,36200,
Apache Camel,data framework,5200,
Redisson,database solution,22500,
Cxf,service framework,840,
Apache Hadoop,database solution,14230,
Alluxio,data orchestration,6600,
Beam,data processing,7400,
Atmosphere,web framework,3700,
Assertj-core,testing framework,2500,
AxonFramework,microservice framework,3200,
Byte-buddy,virtual machine solution,5900,
Cas,security framework,10600,
Karaf,virtual machine solution,640,
Storm,computing solution,6500,
Spring-Framework,java framework,54600,
Spring-Security,java framework,8300,
Apache Cassandra,database solution,8400,
OkHttp,web framework,45100,
Openapi-Generator,API framework,19300,
Testcontainers-Java,testing framework,7700,
Traccar,gps solution,4700,
OrientDB,database solution,4700,
Spotbugs,testing framework,3300,
Tika,text parser solution,2100,
Rest-Assured,microservice framework,6700,
Guacamole-Client,java framework,1300,
Eclim,source code editor,1000,
Hawtio,java framework,1400,
Pxb1988-Dex2jar,java framework,11700,
Web3j,java framework,4900,
